Round,anne.results...SampleIDs,Pred,True
49,TCGA-06-5859-01,cluster3,cluster3
49,TCGA-19-2624-01,cluster1,cluster1
50,TCGA-28-5207-01,cluster5,cluster1
50,TCGA-06-2557-01,cluster2,cluster3
50,TCGA-12-0619-01,cluster2,cluster2
50,TCGA-06-0686-01,cluster2,cluster2
50,TCGA-19-1787-01,cluster2,cluster3
51,TCGA-06-2564-01,cluster2,cluster1
51,TCGA-19-1787-01,cluster2,cluster3
51,TCGA-06-2559-01,cluster1,cluster1
51,TCGA-27-1831-01,cluster3,cluster1
51,TCGA-41-2572-01,cluster1,cluster1
52,TCGA-12-3650-01,cluster1,cluster1
52,TCGA-06-0138-01,cluster2,cluster1
52,TCGA-27-2528-01,cluster1,cluster1
52,TCGA-26-1442-01,cluster5,cluster5
52,TCGA-06-0686-01,cluster2,cluster2
53,TCGA-02-0047-01,cluster2,cluster5
53,TCGA-41-2571-01,cluster2,cluster2
53,TCGA-12-0821-01,cluster2,cluster4
53,TCGA-06-0129-01,cluster3,cluster3
53,TCGA-06-5411-01,cluster5,cluster5
54,TCGA-02-2486-01,cluster3,cluster3
54,TCGA-12-3650-01,cluster1,cluster1
54,TCGA-12-3652-01,cluster1,cluster1
54,TCGA-06-0878-01,cluster2,cluster4
54,TCGA-27-1831-01,cluster1,cluster1
55,TCGA-32-2634-01,cluster2,cluster3
55,TCGA-06-2565-01,cluster1,cluster1
55,TCGA-06-5411-01,cluster5,cluster5
55,TCGA-06-0686-01,cluster2,cluster2
55,TCGA-19-2620-01,cluster2,cluster5
56,TCGA-06-2564-01,cluster1,cluster1
56,TCGA-06-0129-01,cluster3,cluster3
56,TCGA-28-5207-01,cluster3,cluster1
56,TCGA-06-0686-01,cluster2,cluster2
56,TCGA-06-0644-01,cluster2,cluster2
57,TCGA-06-2565-01,cluster1,cluster1
57,TCGA-06-2559-01,cluster1,cluster1
57,TCGA-06-0130-01,cluster2,cluster2
57,TCGA-06-0129-01,cluster3,cluster3
57,TCGA-32-2632-01,cluster5,cluster3
58,TCGA-06-0187-01,cluster2,cluster4
58,TCGA-19-1787-01,cluster2,cluster3
58,TCGA-28-5220-01,cluster3,cluster5
58,TCGA-27-2524-01,cluster2,cluster2
58,TCGA-28-2514-01,cluster2,cluster5
59,TCGA-12-0821-01,cluster2,cluster4
59,TCGA-06-0187-01,cluster1,cluster4
59,TCGA-41-3915-01,cluster2,cluster2
59,TCGA-26-1442-01,cluster5,cluster5
59,TCGA-27-1830-01,cluster2,cluster2
60,TCGA-41-2571-01,cluster2,cluster2
60,TCGA-27-2524-01,cluster2,cluster2
60,TCGA-27-1830-01,cluster2,cluster2
60,TCGA-06-0132-01,cluster2,cluster5
60,TCGA-27-1831-01,cluster1,cluster1
61,TCGA-28-5208-01,cluster2,cluster1
61,TCGA-12-0619-01,cluster2,cluster2
61,TCGA-32-2638-01,cluster1,cluster1
61,TCGA-12-3652-01,cluster1,cluster1
61,TCGA-28-5207-01,cluster3,cluster1
62,TCGA-27-2524-01,cluster2,cluster2
62,TCGA-06-2565-01,cluster1,cluster1
62,TCGA-28-5220-01,cluster3,cluster5
62,TCGA-32-2632-01,cluster5,cluster3
62,TCGA-06-0878-01,cluster2,cluster4
63,TCGA-12-0821-01,cluster2,cluster4
63,TCGA-02-0047-01,cluster2,cluster5
63,TCGA-41-2572-01,cluster1,cluster1
63,TCGA-27-1837-01,cluster1,cluster1
63,TCGA-06-2557-01,cluster2,cluster3
64,TCGA-08-0386-01,cluster2,cluster3
64,TCGA-12-0619-01,cluster2,cluster2
64,TCGA-32-2638-01,cluster1,cluster1
64,TCGA-19-2629-01,cluster2,cluster3
64,TCGA-06-0129-01,cluster3,cluster3
65,TCGA-15-1444-01,cluster3,cluster3
65,TCGA-06-0138-01,cluster2,cluster1
65,TCGA-06-0187-01,cluster2,cluster4
65,TCGA-27-2528-01,cluster1,cluster1
65,TCGA-12-0619-01,cluster2,cluster2
66,TCGA-19-2624-01,cluster1,cluster1
66,TCGA-06-0750-01,cluster2,cluster4
66,TCGA-06-0138-01,cluster2,cluster1
66,TCGA-32-5222-01,cluster1,cluster2
66,TCGA-06-5411-01,cluster5,cluster5
67,TCGA-26-5132-01,cluster2,cluster3
67,TCGA-32-1980-01,cluster5,cluster5
67,TCGA-32-2615-01,cluster1,cluster4
67,TCGA-08-0386-01,cluster2,cluster3
67,TCGA-02-2486-01,cluster3,cluster3
68,TCGA-32-2632-01,cluster2,cluster3
68,TCGA-06-0190-01,cluster2,cluster2
68,TCGA-32-2638-01,cluster1,cluster1
68,TCGA-28-5207-01,cluster5,cluster1
68,TCGA-28-5208-01,cluster2,cluster1
69,TCGA-06-0211-01,cluster1,cluster2
69,TCGA-28-5220-01,cluster3,cluster5
69,TCGA-19-2629-01,cluster2,cluster3
69,TCGA-14-1825-01,cluster2,cluster2
69,TCGA-06-0686-01,cluster2,cluster2
70,TCGA-06-2564-01,cluster2,cluster1
70,TCGA-06-0156-01,cluster2,cluster2
70,TCGA-32-2632-01,cluster5,cluster3
70,TCGA-28-5204-01,cluster1,cluster5
70,TCGA-27-1830-01,cluster2,cluster2
71,TCGA-14-0787-01,cluster2,cluster4
71,TCGA-19-2624-01,cluster1,cluster1
71,TCGA-19-2629-01,cluster2,cluster3
71,TCGA-08-0386-01,cluster2,cluster3
71,TCGA-26-1442-01,cluster5,cluster5
72,TCGA-06-0686-01,cluster2,cluster2
72,TCGA-06-2557-01,cluster2,cluster3
72,TCGA-06-0187-01,cluster2,cluster4
72,TCGA-28-1747-01,cluster3,cluster3
72,TCGA-06-0644-01,cluster2,cluster2
73,TCGA-06-0156-01,cluster2,cluster2
73,TCGA-02-2486-01,cluster3,cluster3
73,TCGA-26-1442-01,cluster5,cluster5
73,TCGA-27-1830-01,cluster2,cluster2
73,TCGA-06-0190-01,cluster2,cluster2
74,TCGA-06-0646-01,cluster2,cluster2
74,TCGA-19-2624-01,cluster1,cluster1
74,TCGA-06-2557-01,cluster2,cluster3
74,TCGA-06-0156-01,cluster2,cluster2
74,TCGA-27-1837-01,cluster1,cluster1
75,TCGA-27-1837-01,cluster1,cluster1
75,TCGA-12-3650-01,cluster1,cluster1
75,TCGA-27-1834-01,cluster3,cluster3
75,TCGA-06-2567-01,cluster2,cluster3
75,TCGA-28-2514-01,cluster2,cluster5
76,TCGA-32-5222-01,cluster1,cluster2
76,TCGA-32-1980-01,cluster2,cluster5
76,TCGA-28-2514-01,cluster5,cluster5
76,TCGA-19-2629-01,cluster2,cluster3
76,TCGA-06-0138-01,cluster2,cluster1
77,TCGA-12-0619-01,cluster2,cluster2
77,TCGA-27-1831-01,cluster3,cluster1
77,TCGA-41-3915-01,cluster2,cluster2
77,TCGA-06-0646-01,cluster2,cluster2
77,TCGA-41-2572-01,cluster1,cluster1
78,TCGA-32-2632-01,cluster5,cluster3
78,TCGA-06-0190-01,cluster2,cluster2
78,TCGA-06-0644-01,cluster2,cluster2
78,TCGA-27-1837-01,cluster1,cluster1
78,TCGA-06-5415-01,cluster5,cluster5
79,TCGA-19-1787-01,cluster2,cluster3
79,TCGA-06-0132-01,cluster2,cluster5
79,TCGA-12-0618-01,cluster2,cluster2
79,TCGA-41-2571-01,cluster2,cluster2
79,TCGA-27-2523-01,cluster1,cluster1
80,TCGA-19-2620-01,cluster5,cluster5
80,TCGA-41-2571-01,cluster2,cluster2
80,TCGA-06-2567-01,cluster2,cluster3
80,TCGA-12-0618-01,cluster2,cluster2
80,TCGA-06-2557-01,cluster2,cluster3
81,TCGA-06-0190-01,cluster2,cluster2
81,TCGA-12-0619-01,cluster2,cluster2
81,TCGA-32-1980-01,cluster5,cluster5
81,TCGA-12-0821-01,cluster2,cluster4
81,TCGA-06-0686-01,cluster2,cluster2
82,TCGA-06-0878-01,cluster2,cluster4
82,TCGA-19-1787-01,cluster2,cluster3
82,TCGA-06-0129-01,cluster3,cluster3
82,TCGA-28-5208-01,cluster2,cluster1
82,TCGA-06-0219-01,cluster5,cluster5
83,TCGA-06-2559-01,cluster1,cluster1
83,TCGA-27-2523-01,cluster1,cluster1
83,TCGA-06-2565-01,cluster1,cluster1
83,TCGA-02-0047-01,cluster2,cluster5
83,TCGA-14-1825-01,cluster2,cluster2
84,TCGA-06-0749-01,cluster5,cluster5
84,TCGA-27-2524-01,cluster2,cluster2
84,TCGA-02-0047-01,cluster2,cluster5
84,TCGA-06-0130-01,cluster2,cluster2
84,TCGA-28-5204-01,cluster1,cluster5
85,TCGA-06-2557-01,cluster2,cluster3
85,TCGA-28-5220-01,cluster3,cluster5
85,TCGA-28-5213-01,cluster2,cluster1
85,TCGA-12-0618-01,cluster2,cluster2
85,TCGA-06-0747-01,cluster2,cluster4
86,TCGA-19-1787-01,cluster2,cluster3
86,TCGA-06-0644-01,cluster2,cluster2
86,TCGA-19-2629-01,cluster2,cluster3
86,TCGA-32-2615-01,cluster1,cluster4
86,TCGA-27-1834-01,cluster3,cluster3
87,TCGA-27-2523-01,cluster1,cluster1
87,TCGA-27-2528-01,cluster1,cluster1
87,TCGA-27-1837-01,cluster1,cluster1
87,TCGA-32-1980-01,cluster5,cluster5
87,TCGA-06-0686-01,cluster2,cluster2
88,TCGA-28-5218-01,cluster2,cluster1
88,TCGA-06-0750-01,cluster2,cluster4
88,TCGA-28-1753-01,cluster1,cluster1
88,TCGA-41-2571-01,cluster2,cluster2
88,TCGA-06-0211-01,cluster1,cluster2
89,TCGA-16-0846-01,cluster3,cluster3
89,TCGA-32-2638-01,cluster1,cluster1
89,TCGA-06-0187-01,cluster1,cluster4
89,TCGA-32-2632-01,cluster5,cluster3
89,TCGA-06-5411-01,cluster5,cluster5
90,TCGA-19-1787-01,cluster2,cluster3
90,TCGA-14-1829-01,cluster2,cluster1
90,TCGA-41-2572-01,cluster1,cluster1
90,TCGA-32-2615-01,cluster1,cluster4
90,TCGA-28-5204-01,cluster1,cluster5
91,TCGA-06-2565-01,cluster1,cluster1
91,TCGA-06-0129-01,cluster3,cluster3
91,TCGA-02-0047-01,cluster2,cluster5
91,TCGA-27-1834-01,cluster3,cluster3
91,TCGA-06-0750-01,cluster2,cluster4
92,TCGA-06-0138-01,cluster2,cluster1
92,TCGA-06-2559-01,cluster1,cluster1
92,TCGA-12-0618-01,cluster2,cluster2
92,TCGA-15-1444-01,cluster3,cluster3
92,TCGA-02-2486-01,cluster3,cluster3
93,TCGA-32-2634-01,cluster2,cluster3
93,TCGA-14-1825-01,cluster2,cluster2
93,TCGA-06-0749-01,cluster3,cluster5
93,TCGA-06-2559-01,cluster1,cluster1
93,TCGA-28-5207-01,cluster2,cluster1
94,TCGA-32-2615-01,cluster1,cluster4
94,TCGA-14-0787-01,cluster2,cluster4
94,TCGA-06-5411-01,cluster5,cluster5
94,TCGA-14-1829-01,cluster2,cluster1
94,TCGA-28-5208-01,cluster2,cluster1
95,TCGA-28-5218-01,cluster2,cluster1
95,TCGA-06-0156-01,cluster2,cluster2
95,TCGA-32-1980-01,cluster5,cluster5
95,TCGA-06-0219-01,cluster5,cluster5
95,TCGA-12-3650-01,cluster1,cluster1
96,TCGA-08-0386-01,cluster2,cluster3
96,TCGA-27-1830-01,cluster2,cluster2
96,TCGA-06-0190-01,cluster2,cluster2
96,TCGA-12-3650-01,cluster1,cluster1
96,TCGA-27-2519-01,cluster2,cluster3
97,TCGA-06-0219-01,cluster5,cluster5
97,TCGA-26-5132-01,cluster2,cluster3
97,TCGA-27-2519-01,cluster2,cluster3
97,TCGA-06-0644-01,cluster2,cluster2
97,TCGA-32-1980-01,cluster5,cluster5
98,TCGA-06-0882-01,cluster5,cluster5
98,TCGA-06-5411-01,cluster5,cluster5
98,TCGA-06-0219-01,cluster5,cluster5
98,TCGA-12-0619-01,cluster2,cluster2
98,TCGA-19-2624-01,cluster1,cluster1
99,TCGA-28-5213-01,cluster2,cluster1
99,TCGA-28-5208-01,cluster2,cluster1
99,TCGA-27-1831-01,cluster1,cluster1
99,TCGA-28-2514-01,cluster5,cluster5
99,TCGA-06-0882-01,cluster5,cluster5
100,TCGA-28-5213-01,cluster2,cluster1
100,TCGA-06-2557-01,cluster2,cluster3
100,TCGA-28-5218-01,cluster2,cluster1
100,TCGA-28-1753-01,cluster2,cluster1
100,TCGA-27-2523-01,cluster1,cluster1
101,TCGA-27-1834-01,cluster3,cluster3
101,TCGA-19-2620-01,cluster5,cluster5
101,TCGA-14-1829-01,cluster2,cluster1
101,TCGA-26-5132-01,cluster2,cluster3
101,TCGA-28-5204-01,cluster1,cluster5
102,TCGA-14-1825-01,cluster2,cluster2
102,TCGA-06-2565-01,cluster1,cluster1
102,TCGA-06-0211-01,cluster1,cluster2
102,TCGA-06-0882-01,cluster5,cluster5
102,TCGA-14-0787-01,cluster2,cluster4
103,TCGA-06-0219-01,cluster5,cluster5
103,TCGA-02-2486-01,cluster3,cluster3
103,TCGA-06-5859-01,cluster3,cluster3
103,TCGA-06-0138-01,cluster2,cluster1
103,TCGA-12-3650-01,cluster1,cluster1
104,TCGA-15-1444-01,cluster3,cluster3
104,TCGA-27-2524-01,cluster2,cluster2
104,TCGA-06-2565-01,cluster1,cluster1
104,TCGA-28-5208-01,cluster2,cluster1
104,TCGA-06-0644-01,cluster2,cluster2
105,TCGA-12-0619-01,cluster2,cluster2
105,TCGA-27-1834-01,cluster3,cluster3
105,TCGA-32-1980-01,cluster5,cluster5
105,TCGA-28-1753-01,cluster2,cluster1
105,TCGA-28-5208-01,cluster2,cluster1
106,TCGA-06-0750-01,cluster2,cluster4
106,TCGA-41-3915-01,cluster2,cluster2
106,TCGA-27-2524-01,cluster2,cluster2
106,TCGA-06-5415-01,cluster5,cluster5
106,TCGA-06-0644-01,cluster2,cluster2
107,TCGA-06-0750-01,cluster2,cluster4
107,TCGA-27-1837-01,cluster1,cluster1
107,TCGA-27-1834-01,cluster3,cluster3
107,TCGA-06-0878-01,cluster2,cluster4
107,TCGA-19-1787-01,cluster2,cluster3
108,TCGA-27-2523-01,cluster1,cluster1
108,TCGA-28-5208-01,cluster2,cluster1
108,TCGA-06-5859-01,cluster3,cluster3
108,TCGA-19-1787-01,cluster2,cluster3
108,TCGA-06-2564-01,cluster1,cluster1
109,TCGA-06-0646-01,cluster2,cluster2
109,TCGA-06-0130-01,cluster2,cluster2
109,TCGA-06-2557-01,cluster2,cluster3
109,TCGA-28-5207-01,cluster5,cluster1
109,TCGA-41-2572-01,cluster1,cluster1
110,TCGA-12-3652-01,cluster1,cluster1
110,TCGA-06-0878-01,cluster2,cluster4
110,TCGA-06-2564-01,cluster2,cluster1
110,TCGA-06-0747-01,cluster2,cluster4
110,TCGA-06-0187-01,cluster2,cluster4
111,TCGA-06-5859-01,cluster3,cluster3
111,TCGA-15-1444-01,cluster3,cluster3
111,TCGA-06-0750-01,cluster2,cluster4
111,TCGA-06-0882-01,cluster5,cluster5
111,TCGA-41-3915-01,cluster2,cluster2
112,TCGA-32-1980-01,cluster5,cluster5
112,TCGA-32-2638-01,cluster1,cluster1
112,TCGA-06-0644-01,cluster2,cluster2
112,TCGA-06-5859-01,cluster3,cluster3
112,TCGA-27-2524-01,cluster2,cluster2
113,TCGA-06-0878-01,cluster2,cluster4
113,TCGA-32-2632-01,cluster5,cluster3
113,TCGA-06-0138-01,cluster2,cluster1
113,TCGA-32-1970-01,cluster3,cluster3
113,TCGA-19-1787-01,cluster2,cluster3
114,TCGA-14-1825-01,cluster2,cluster2
114,TCGA-08-0386-01,cluster2,cluster3
114,TCGA-26-5134-01,cluster2,cluster2
114,TCGA-28-5204-01,cluster1,cluster5
114,TCGA-06-0882-01,cluster5,cluster5
115,TCGA-32-2638-01,cluster1,cluster1
115,TCGA-28-5208-01,cluster2,cluster1
115,TCGA-32-2632-01,cluster5,cluster3
115,TCGA-27-1831-01,cluster3,cluster1
115,TCGA-19-2624-01,cluster1,cluster1
116,TCGA-28-2514-01,cluster5,cluster5
116,TCGA-06-0878-01,cluster2,cluster4
116,TCGA-26-5132-01,cluster2,cluster3
116,TCGA-06-0747-01,cluster2,cluster4
